Price,Levy,Model,Category,Leather interior,Engine volume,Mileage,Cylinders,Drive wheels,Doors,Wheel,Color,Airbags,turbo,engine_volume,brand,fuel_type,Gear_box,year,price_win,Mileage_win,Levy_wins,Cylinders_wins,Category_enc,Fuel_type_enc,Drive_wheels_enc,Gear_box_enc,Manufacturer_enc
12074,1537,Highlander,SUV,1,3.3,420550,6,4x4,4,Left wheel,Blue,12,0,3.3,TOYOTA,Hybrid,Automatic,2009,12074,328000,1537,6,10,3,1,1,54
15681,1288,Vito,Goods wagon,0,2,180000,6,Rear,4,Left wheel,White,4,0,2,MERCEDES-BENZ,Diesel,Manual,2007,15681,180000,1288,6,3,2,3,2,33
19444,915,Cayenne,SUV,1,3,175056,6,4x4,4,Left wheel,White,12,0,3,PORSCHE,Diesel,Automatic,2014,19444,175056,915,6,10,2,1,1,42
125,1750,Highlander,Sedan,1,3.3,287274,6,4x4,4,Left wheel,White,12,0,3.3,TOYOTA,Hybrid,Automatic,2008,314,287274,1597.7933519556452,6,9,3,1,1,54
24462,838.6715934117626,Grand Cherokee,SUV,1,3,250000,6,4x4,4,Left wheel,Black,10,0,3,JEEP,Diesel,Tiptronic,2007,24462,250000,838.6715934117626,6,10,2,1,3,25
23235,707,Santa FE,SUV,1,2,162000,4,Front,4,Left wheel,Grey,4,0,2,HYUNDAI,Diesel,Automatic,2011,23235,162000,707,4,10,2,2,1,21
7527,1486,FIT,Hatchback,0,1.3,158000,4,Front,4,Right-hand drive,Black,4,0,1.3,HONDA,Hybrid,Automatic,2010,7527,158000,1486,4,4,3,2,1,19
19121,531,Elantra,Sedan,1,1.6,103490,4,Front,4,Left wheel,Silver,4,0,1.6,HYUNDAI,Petrol,Automatic,2012,19121,103490,531,4,9,5,2,1,21
314,1399,RX 450,SUV,1,3.5,382746,6,4x4,4,Left wheel,Silver,12,0,3.5,LEXUS,Hybrid,Automatic,2010,314,328000,1399,6,10,3,1,1,29
24462,751,Camry,Sedan,1,2.4,203200,4,Front,4,Left wheel,Blue,4,0,2.4,TOYOTA,Petrol,Automatic,2013,24462,203200,751,4,9,5,2,1,54
45734,1091,H1,Universal,1,2.5,61057,4,Front,4,Left wheel,Black,4,0,2.5,HYUNDAI,Diesel,Automatic,2016,38124.099999999795,61057,1091,4,11,2,2,1,21
20165,650,Jetta,Sedan,1,1.4,11200,4,Front,4,Left wheel,Black,8,0,1.4,VOLKSWAGEN,Petrol,Tiptronic,2016,20165,11200,650,4,9,5,2,3,57
21326,382,Sonata,Sedan,1,2.4,141000,4,Front,4,Left wheel,White,12,0,2.4,HYUNDAI,Hybrid,Tiptronic,2014,21326,141000,473,4,9,3,2,3,21
15681,503,Prius C,Hatchback,0,1.5,128000,4,Front,4,Left wheel,Sky blue,8,0,1.5,TOYOTA,Hybrid,Variator,2012,15681,128000,503,4,4,3,2,4,54
12544,1748.271468764548,Aqua,Hatchback,0,1.5,141500,4,Front,4,Right-hand drive,Black,8,0,1.5,TOYOTA,Hybrid,Automatic,2012,12544,141500,1597.7933519556452,4,4,3,2,1,54
17249,1594.159082971519,Escape Hybrid,SUV,0,2.3,147000,4,4x4,4,Left wheel,White,8,0,2.3,FORD,Hybrid,Variator,2008,17249,147000,1594.159082971519,4,10,3,1,4,14
34889,891,Civic,Sedan,1,2,87768,4,Front,4,Left wheel,Blue,4,0,2,HONDA,Petrol,Automatic,2016,34889,87768,891,4,9,5,2,1,19
862,1104,Q7,SUV,1,3,264014,6,4x4,4,Left wheel,Black,0,0,3,AUDI,Petrol,Automatic,2015,862,264014,1104,6,10,5,1,1,3
14583,1029.812530992933,Megane 1.5CDI,Sedan,0,1.5,132542,4,Front,4,Left wheel,White,10,0,1.5,RENAULT,Diesel,Manual,2008,14583,132542,1029.812530992933,4,9,2,2,2,43
392,1017,E 300,Sedan,1,2,1600,4,Rear,4,Left wheel,Black,12,0,2,MERCEDES-BENZ,Petrol,Automatic,2017,392,2093.200000000008,1017,4,9,5,3,1,33
38500,639,Q5,SUV,1,2,87000,1,4x4,4,Left wheel,White,12,0,2,AUDI,Petrol,Tiptronic,2014,38124.099999999795,87000,639,4,10,5,1,3,3
8781,1790.5995790642316,C 180,Coupe,0,2,260000,4,Rear,2,Left wheel,Blue,0,0,2,MERCEDES-BENZ,Petrol,Manual,2001,8781,260000,1597.7933519556452,4,2,5,3,2,33
1411,629,Juke,SUV,1,1.6,87112,4,4x4,4,Left wheel,Black,0,0,1.6,NISSAN,Petrol,Automatic,2015,1411,87112,629,4,10,5,1,1,38
392,919,535,Sedan,1,3,204318,6,Rear,4,Left wheel,Black,12,0,3,BMW,Petrol,Automatic,2012,392,204318,919,6,9,5,3,1,4
23521,781,Cruze LT,Sedan,0,1.4,22000,4,Front,4,Left wheel,Red,6,0,1.4,CHEVROLET,Petrol,Automatic,2018,23521,22000,781,4,9,5,2,1,7
16935,530,Fusion,Sedan,0,1.6,83000,4,Front,4,Left wheel,Silver,8,0,1.6,FORD,Petrol,Tiptronic,2013,16935,83000,530,4,9,5,2,3,14
10349,622.5256908873279,VOXY,Minivan,1,2.4,170000,4,Front,4,Right-hand drive,Black,6,0,2.4,TOYOTA,Petrol,Automatic,2007,10349,170000,622.5256908873279,4,7,5,2,1,54
7213,530,Juke,SUV,1,1.6,312118,4,Front,4,Left wheel,Black,0,0,1.6,NISSAN,Petrol,Automatic,2013,7213,312118,530,4,10,5,2,1,38
5331,940.9454540979289,A 160,Sedan,0,1.6,130000,4,Front,4,Left wheel,Black,6,0,1.6,MERCEDES-BENZ,Petrol,Tiptronic,2004,5331,130000,940.9454540979289,4,9,5,2,3,33
20526,640,Tucson,SUV,1,2,200279,4,Front,4,Left wheel,Grey,4,0,2,HYUNDAI,Diesel,Automatic,2013,20526,200279,640,4,10,2,2,1,21
9722,765,Sonata,Sedan,1,2,719847,4,Front,4,Left wheel,Orange,4,0,2,HYUNDAI,LPG,Automatic,2015,9722,328000,765,4,9,4,2,1,21
34657,777,H1,Minivan,1,2.5,154672,4,Front,4,Left wheel,Silver,4,0,2.5,HYUNDAI,Diesel,Automatic,2014,34657,154672,777,4,7,2,2,1,21
36564,1091,H1,Minivan,1,2.5,110969,4,Front,4,Left wheel,Black,4,0,2.5,HYUNDAI,Diesel,Automatic,2016,36564,110969,1091,4,7,2,2,1,21
314,779,Camry,Sedan,1,2.5,225510,4,Front,4,Left wheel,White,12,0,2.5,TOYOTA,Hybrid,Automatic,2013,314,225510,779,4,9,3,2,1,54
5488,894.5561474460459,Vitz,Hatchback,0,1.5,210000,4,Front,4,Right-hand drive,Sky blue,3,0,1.5,TOYOTA,Petrol,Manual,2001,5488,210000,894.5561474460459,4,4,5,2,2,54
30063,934,H1,Universal,1,2.5,148105,4,Front,4,Left wheel,Silver,4,0,2.5,HYUNDAI,Diesel,Automatic,2015,30063,148105,934,4,11,2,2,1,21
15800,769,Captiva,SUV,1,2.2,255456,4,Front,4,Left wheel,Silver,4,0,2.2,CHEVROLET,Diesel,Automatic,2011,15800,255456,769,4,10,2,2,1,7
43952,1249,H1,Universal,1,2.5,111643,4,Front,4,Left wheel,Grey,4,0,2.5,HYUNDAI,Diesel,Automatic,2017,38124.099999999795,111643,1249,4,11,2,2,1,21
14740,645,Prius,Hatchback,0,1.8,288000,4,Front,4,Left wheel,White,8,0,1.8,TOYOTA,Hybrid,Automatic,2011,14740,288000,645,4,4,3,2,1,54
42337,599.3889653997751,Mustang,Cabriolet,1,2.3,75000,4,Rear,2,Left wheel,Silver,6,0,2.3,FORD,Petrol,Tiptronic,2016,38124.099999999795,75000,599.3889653997751,4,1,5,3,3,14
3763,1053,ML 350,SUV,1,3.5,94362,6,Rear,4,Left wheel,White,12,0,3.5,MERCEDES-BENZ,Petrol,Automatic,2014,3763,94362,1053,6,10,5,3,1,33
18189,686.1524360590951,Prius,Sedan,0,1.8,175000,4,Front,4,Left wheel,Silver,8,0,1.8,TOYOTA,Petrol,Automatic,2012,18189,175000,686.1524360590951,4,9,5,2,1,54
220,1185,Escape,SUV,1,2.5,193614,4,Front,4,Left wheel,White,0,0,2.5,FORD,Hybrid,Automatic,2009,314,193614,1185,4,10,3,2,1,14
5645,1324,Highlander,SUV,1,3.3,264877,6,4x4,4,Left wheel,White,12,0,3.3,TOYOTA,Hybrid,Automatic,2010,5645,264877,1324,6,10,3,1,1,54
7527,830,Yaris,Sedan,1,1.5,27656,4,Front,4,Left wheel,White,12,0,1.5,TOYOTA,Petrol,Automatic,2019,7527,27656,830,4,9,5,2,1,54
21953,1187,Civic,Sedan,0,1.4,16000,8,4x4,4,Right-hand drive,White,10,0,1.4,HONDA,Hybrid,Automatic,2014,21953,16000,1187,6,9,3,1,1,19
8154,1580.1996778099738,Cr-v,SUV,0,2,0,4,4x4,4,Right-hand drive,White,2,0,2,HONDA,Petrol,Automatic,1998,8154,2093.200000000008,1580.1996778099738,4,10,5,1,1,19
21953,781,Camry,Sedan,0,2.5,195053,4,Front,4,Left wheel,Black,0,0,2.5,TOYOTA,Petrol,Automatic,2012,21953,195053,781,4,9,5,2,1,54
19121,531,Elantra,Sedan,1,1.6,121362,4,Front,4,Left wheel,Black,4,0,1.6,HYUNDAI,Petrol,Automatic,2012,19121,121362,531,4,9,5,2,1,21
36065,639,Santa FE,SUV,1,2,69191,4,Front,4,Left wheel,White,4,0,2,HYUNDAI,Diesel,Automatic,2014,36065,69191,639,4,10,2,2,1,21
8781,1111,FIT,Hatchback,1,1.3,83000,4,Front,4,Right-hand drive,Green,12,0,1.3,HONDA,Hybrid,Tiptronic,2012,8781,83000,1111,4,4,3,2,3,19
6247,760,Cruze,Sedan,1,1.8,40772,4,Front,4,Left wheel,Black,4,0,1.8,CHEVROLET,Petrol,Automatic,2010,6247,40772,760,4,9,5,2,1,7
16289,642,Orlando,SUV,1,2,172000,4,Front,4,Left wheel,Grey,4,0,2,CHEVROLET,Diesel,Automatic,2012,16289,172000,642,4,10,2,2,1,7
2822,1281.154733949245,520 Vanos,Sedan,1,2,350000,6,Rear,4,Left wheel,Blue,2,0,2,BMW,Petrol,Manual,1995,2822,328000,1281.154733949245,6,9,5,3,2,4
549,781,Forester,SUV,1,2.5,148213,4,4x4,4,Left wheel,Blue,0,0,2.5,SUBARU,Petrol,Automatic,2012,549,148213,781,4,10,5,1,1,52
6981,1095,Lacetti,Sedan,1,2,103246,4,Front,4,Left wheel,Black,4,0,2,DAEWOO,Petrol,Automatic,2008,6981,103246,1095,4,9,5,2,1,10
27284,891,Elantra,Sedan,0,2,105394,4,Front,4,Left wheel,Black,12,0,2,HYUNDAI,Petrol,Tiptronic,2016,27284,105394,891,4,9,5,2,3,21
32929,560.5375396677038,428 Sport Line,Coupe,1,2,160000,4,Rear,2,Left wheel,Black,12,0,2,BMW,Petrol,Automatic,2013,32929,160000,560.5375396677038,4,2,5,3,1,4
18817,1211.142918807907,Patrol,SUV,0,2.8,333333,4,Rear,4,Left wheel,Black,0,0,2.8,NISSAN,Diesel,Manual,1990,18817,328000,1211.142918807907,4,10,2,3,2,38
4234,1148.739635427758,Civic,Hatchback,1,1.4,0,4,Front,2,Left wheel,Blue,6,0,1.4,HONDA,Petrol,Manual,1997,4234,2093.200000000008,1148.739635427758,4,4,5,2,2,19
15053,964.4253666385349,E 320,Sedan,1,3.2,214000,6,Rear,4,Left wheel,Grey,8,0,3.2,MERCEDES-BENZ,Petrol,Tiptronic,2004,15053,214000,964.4253666385349,6,9,5,3,3,33
15458,966,Genesis,Coupe,1,2,123346,4,Front,4,Left wheel,Black,4,0,2,HYUNDAI,Petrol,Automatic,2009,15458,123346,966,4,2,5,2,1,21
2901,473,Cruze,Sedan,1,1.4,80827,4,Front,4,Left wheel,Green,12,0,1.4,CHEVROLET,Petrol,Automatic,2014,2901,80827,473,4,9,5,2,1,7
314,382,Fusion,Sedan,1,2,91760,4,Front,4,Left wheel,Black,12,0,2,FORD,Hybrid,Automatic,2015,314,91760,473,4,9,3,2,1,14
26657,1066.1968899820304,Sprinter,Microbus,0,2.2,300000,4,Rear,4,Left wheel,White,1,0,2.2,MERCEDES-BENZ,Diesel,Manual,2004,26657,300000,1066.1968899820304,4,6,2,3,2,33
10663,988,Prius,Hatchback,0,1.5,318400,4,Front,4,Left wheel,Silver,6,0,1.5,TOYOTA,Petrol,Automatic,2007,10663,318400,988,4,4,5,2,1,54
12858,765,Focus SE,Sedan,0,2,91200,4,Front,4,Left wheel,Sky blue,10,0,2,FORD,Petrol,Automatic,2015,12858,91200,765,4,9,5,2,1,14
1019,917,X5,SUV,1,3,137802,6,4x4,4,Left wheel,Black,12,0,3,BMW,Diesel,Automatic,2013,1019,137802,917,6,10,2,1,1,4
549,917,535,Sedan,1,3,151586,6,Rear,4,Left wheel,White,12,0,3,BMW,Hybrid,Automatic,2013,549,151586,917,6,9,3,3,1,4
12858,1119.8745198070576,Picanto,Hatchback,0,1.2,107000,4,Front,4,Left wheel,Silver,2,0,1.2,KIA,Petrol,Manual,2016,12858,107000,1119.8745198070576,4,4,5,2,2,26
15000,563.1072092246943,328,Sedan,1,3,210408,6,Rear,4,Left wheel,White,12,0,3,BMW,CNG,Tiptronic,2008,15000,210408,563.1072092246943,6,9,1,3,3,4
44752,1091,H1,Universal,1,2.5,86000,4,Front,4,Left wheel,Grey,4,0,2.5,HYUNDAI,Diesel,Automatic,2016,38124.099999999795,86000,1091,4,11,2,2,1,21
17158,687,Elantra,Sedan,1,1.6,122740,4,Front,4,Left wheel,White,4,0,1.6,HYUNDAI,Petrol,Automatic,2010,17158,122740,687,4,9,5,2,1,21
12231,624.1642848394781,Airtrek,SUV,0,2.4,144000,4,4x4,4,Right-hand drive,White,16,0,2.4,MITSUBISHI,LPG,Tiptronic,2005,12231,144000,624.1642848394781,4,10,4,1,3,36
1254,1247.2850829880592,Lancer,Sedan,0,1.3,100000,4,Rear,4,Left wheel,Red,0,0,1.3,MITSUBISHI,Petrol,Manual,1997,1254,100000,1247.2850829880592,4,9,5,3,2,36
94,1111.615153227154,FIT,Hatchback,0,1.5,178000,4,Front,4,Right-hand drive,Silver,4,0,1.5,HONDA,Petrol,Variator,2003,314,178000,1111.615153227154,4,4,5,2,4,19
25591,640,Korando,SUV,1,2,85704,4,Front,4,Left wheel,Silver,4,0,2,SSANGYONG,Diesel,Automatic,2013,25591,85704,640,4,10,2,2,1,51
14897,836,Santa FE,SUV,1,2,58962,4,Front,4,Left wheel,White,4,0,2,HYUNDAI,Diesel,Automatic,2010,14897,58962,836,4,10,2,2,1,21
23521,779,Camry,Sedan,1,2.5,90000,4,Front,4,Left wheel,White,12,0,2.5,TOYOTA,Hybrid,Tiptronic,2013,23521,90000,779,4,9,3,2,3,54
3450,1211.9000936243067,Clio,Hatchback,0,1.2,50000,3,Front,2,Left wheel,Green,0,0,1.2,RENAULT,Petrol,Manual,1995,3450,50000,1211.9000936243067,4,4,5,2,2,43
706,777,616,Sedan,1,2.5,0,4,Front,4,Left wheel,Red,12,0,2.5,MAZDA,Petrol,Automatic,2014,706,2093.200000000008,777,4,9,5,2,1,32
1019,1537,Highlander,Sedan,1,3.3,318358,6,4x4,4,Left wheel,Black,12,0,3.3,TOYOTA,Hybrid,Automatic,2009,1019,318358,1537,6,9,3,1,1,54
16935,765,Fusion,Sedan,1,2,71454,4,Front,4,Left wheel,Black,0,0,2,FORD,Petrol,Automatic,2015,16935,71454,765,4,9,5,2,1,14
19444,781,Camry,Sedan,1,2.5,0,4,Front,4,Left wheel,Black,6,0,2.5,TOYOTA,Petrol,Tiptronic,2012,19444,2093.200000000008,781,4,9,5,2,3,54
11604,639,Sonata,Sedan,1,2,346470,4,Front,4,Left wheel,Silver,4,0,2,HYUNDAI,LPG,Automatic,2014,11604,328000,639,4,9,4,2,1,21
706,394,Camry,Sedan,1,2.5,115312,4,Front,4,Left wheel,Grey,12,0,2.5,TOYOTA,Hybrid,Automatic,2014,706,115312,473,4,9,3,2,1,54
9408,833.609975686927,C 220,Sedan,0,2.2,111111,4,Rear,4,Left wheel,Silver,4,0,2.2,MERCEDES-BENZ,Diesel,Manual,1999,9408,111111,833.609975686927,4,9,2,3,2,33
13328,1347,H1,Minivan,1,2.5,74444,4,Front,4,Left wheel,Yellow,4,0,2.5,HYUNDAI,Diesel,Automatic,2008,13328,74444,1347,4,7,2,2,1,21
17876,1329.4104827681033,Serena,Minivan,0,2,143000,4,Front,4,Right-hand drive,White,12,0,2,NISSAN,Petrol,Tiptronic,2012,17876,143000,1329.4104827681033,4,7,5,2,3,38
549,2866,Maxima,Sedan,1,3.5,299709,6,Front,4,Left wheel,Grey,12,0,3.5,NISSAN,Petrol,Automatic,2004,549,299709,1597.7933519556452,6,9,5,2,1,38
20071,567.3666275485215,RAV 4,SUV,0,2.4,135000,4,4x4,4,Left wheel,Silver,8,0,2.4,TOYOTA,Petrol,Automatic,2008,20071,135000,567.3666275485215,4,10,5,1,1,54
22894,862,H1,Minivan,1,2.5,124444,4,Front,4,Left wheel,Yellow,4,0,2.5,HYUNDAI,Diesel,Automatic,2011,22894,124444,862,4,7,2,2,1,21
2901,503,Civic,Sedan,1,1.5,146403,4,Front,4,Left wheel,White,0,0,1.5,HONDA,Hybrid,Automatic,2012,2901,146403,503,4,9,3,2,1,19
15681,1470.4648251603267,Pajero,SUV,0,2.4,142000,4,4x4,2,Left wheel,Blue,6,0,2.4,MITSUBISHI,Petrol,Automatic,1997,15681,142000,1470.4648251603267,4,10,5,1,1,36
18660,1604.3783407739852,Sonata,Sedan,1,2.4,130000,4,Front,4,Left wheel,Black,6,0,2.4,HYUNDAI,Petrol,Tiptronic,2013,18660,130000,1597.7933519556452,4,9,5,2,3,21
22580,1017,E 300,Sedan,1,2,50930,4,Rear,4,Left wheel,Black,12,0,2,MERCEDES-BENZ,Petrol,Automatic,2017,22580,50930,1017,4,9,5,3,1,33
11604,639,Sonata,Sedan,1,2,264872,4,Front,4,Left wheel,Silver,4,0,2,HYUNDAI,LPG,Automatic,2014,11604,264872,639,4,9,4,2,1,21
314,259,Volt,Hatchback,1,1.4,131893,4,Front,4,Left wheel,Brown,0,0,1.4,CHEVROLET,Hybrid,Automatic,2014,314,131893,473,4,4,3,2,1,7
5488,751,TERRAIN,SUV,1,2.4,138958,4,Front,4,Left wheel,Black,12,0,2.4,GMC,Petrol,Automatic,2013,5488,138958,751,4,10,5,2,1,16
4300,1331.8489923758596,208,Universal,0,2.5,1111111,4,Rear,4,Left wheel,Black,1,0,2.5,MERCEDES-BENZ,Diesel,Manual,1985,4300,328000,1331.8489923758596,4,11,2,3,2,33
18817,609,Camry,Sedan,1,2.5,35058,4,Front,4,Left wheel,White,12,0,2.5,TOYOTA,Hybrid,Automatic,2018,18817,35058,609,4,9,3,2,1,54
21169,697,Hr-v EX,SUV,0,1.8,33330,4,4x4,4,Left wheel,Grey,8,0,1.8,HONDA,Petrol,Automatic,2015,21169,33330,697,4,10,5,1,1,19
9095,880.8478859776824,500,Coupe,0,1.2,141000,4,Front,2,Right-hand drive,Red,4,0,1.2,FIAT,Petrol,Automatic,2011,9095,141000,880.8478859776824,4,2,5,2,1,13
1568,639,Jetta,Sedan,1,2,82392,4,Front,4,Left wheel,Silver,12,0,2,VOLKSWAGEN,Diesel,Automatic,2014,1568,82392,639,4,9,2,2,1,57
3136,2278.434473093861,Legacy,Goods wagon,0,2,180000,6,4x4,4,Right-hand drive,Blue,6,0,2,SUBARU,Petrol,Tiptronic,2005,3136,180000,1597.7933519556452,6,3,5,1,3,52
17876,585,Elantra sport limited,Sedan,1,1.8,117920,4,Front,4,Left wheel,Grey,12,0,1.8,HYUNDAI,Petrol,Tiptronic,2013,17876,117920,585,4,9,5,2,3,21
11290,891,Sonata,Sedan,1,2,279787,4,Front,4,Left wheel,Silver,4,0,2,HYUNDAI,LPG,Automatic,2016,11290,279787,891,4,9,4,2,1,21
36065,1399,Sienna,Minivan,1,3.5,227200,6,Front,4,Left wheel,White,16,0,3.5,TOYOTA,Petrol,Tiptronic,2010,36065,227200,1399,6,7,5,2,3,54
862,394,Camry,Sedan,1,2.5,130478,4,Front,4,Left wheel,White,12,0,2.5,TOYOTA,Hybrid,Automatic,2014,862,130478,473,4,9,3,2,1,54
21395,781,H1,Universal,1,2.5,166144,4,Front,4,Left wheel,Silver,4,0,2.5,HYUNDAI,Diesel,Automatic,2012,21395,166144,781,4,11,2,2,1,21
15681,891,Sonata,Sedan,1,2,258706,4,Front,4,Left wheel,Silver,4,0,2,HYUNDAI,LPG,Automatic,2016,15681,258706,891,4,9,4,2,1,21
627,475,Volt,SUV,1,1.4,188419,4,Front,4,Left wheel,Red,0,0,1.4,CHEVROLET,Hybrid,Automatic,2012,627,188419,475,4,10,3,2,1,7
40070,690,Aqua,Hatchback,1,1.5,25807,4,Front,4,Left wheel,Black,4,0,1.5,TOYOTA,Petrol,Automatic,2016,38124.099999999795,25807,690,4,4,5,2,1,54
11917,1168.510171249669,A 170,Hatchback,0,1.7,180000,4,Front,4,Left wheel,Golden,8,0,1.7,MERCEDES-BENZ,Petrol,Automatic,2008,11917,180000,1168.510171249669,4,4,5,2,1,33
35927,640,REXTON,SUV,1,2,137267,4,Front,4,Left wheel,Silver,4,0,2,SSANGYONG,Diesel,Automatic,2013,35927,137267,640,4,10,2,2,1,51
21012,308,Prius,Sedan,0,1.8,160000,4,4x4,4,Left wheel,White,4,0,1.8,TOYOTA,Hybrid,Automatic,2014,21012,160000,473,4,9,3,1,1,54
21012,1823,Tacoma,Sedan,1,3.5,27358,6,Front,4,Left wheel,Grey,12,0,3.5,TOYOTA,Petrol,Automatic,2018,21012,27358,1597.7933519556452,6,9,5,2,1,54
13172,1361,Carnival grand,Minivan,1,2.9,84176,4,Front,4,Left wheel,White,6,0,2.9,KIA,Diesel,Automatic,2009,13172,84176,1361,4,7,2,2,1,26
15624,707,Genesis,Coupe,1,2,107005,4,Front,4,Left wheel,Grey,4,0,2,HYUNDAI,Petrol,Automatic,2011,15624,107005,707,4,2,5,2,1,21
4547,1154.4817192634612,Vectra,Sedan,0,1.6,15000,4,Front,4,Left wheel,Beige,2,0,1.6,OPEL,Petrol,Manual,1997,4547,15000,1154.4817192634612,4,9,5,2,2,39
5488,1273,QX60,SUV,1,3.5,124154,6,4x4,4,Left wheel,Black,12,0,3.5,INFINITI,Petrol,Automatic,2015,5488,124154,1273,6,10,5,1,1,22
20005,531,Elantra,Sedan,1,1.6,104997,4,Front,4,Left wheel,White,4,0,1.6,HYUNDAI,Petrol,Automatic,2012,20005,104997,531,4,9,5,2,1,21
36110,924,Passat,Sedan,1,1.8,27728,6,Front,4,Left wheel,Silver,8,0,1.8,VOLKSWAGEN,Petrol,Tiptronic,2017,36110,27728,924,6,9,5,2,3,57
